userid,type,ImageID,Label,RatingA,RatingC,RatingK,Length_Drawn
138,2,350,an arrowhead,3,3,2,2746
143,1,351,kid with a birthday hat,3,2,4,22606
117,4,352,chicken,2,1,5,2576
132,4,353,smiley face,2,1,3,13695
131,7,354,boat,5,3,3,244322
190,5,355,a house,2,3,1,9604
124,6,356,pyramid and i have no clue,2,4,1,56151
131,4,357,spider,4,3,4,26915
139,6,358,arrow,2,1,1,8373
170,7,359,trex who lost his arms,4,1,4,15663
116,4,360,smiley face,2,2,2,22972
187,7,361,arrow,2,1,1,25974
109,5,362,house,2,1,2,54658
145,4,363,happy face,2,2,1,42707
103,7,364,a bathing suit,5,1,4,23974
174,6,365,lava lamp,5,2,5,11515
169,7,366,car charger port,5,2,3,3419
121,4,367,bunny,4,4,4,8925
167,5,368,a house,2,2,1,13669
155,6,369,barn,4,3,5,28006
185,2,370,human,4,3,2,14653
156,1,371,millennium falcon,5,2,5,28697
192,3,372,sailboat,3,2,3,38793
140,4,373,that game where you drop a ball down a case with pegs and try to get it in the whole in the middle,5,3,5,12288
135,4,374,face,2,1,3,3709
148,4,375,a boat,2,2,2,34932
125,5,376,house,2,1,1,4369
194,5,377,house,2,2,1,14280
146,2,378,the shape reminded me of a pencil,3,3,3,27195
125,3,379,boat,2,1,2,19113
141,7,380,crayon,2,1,4,38377
170,4,381,intersection,4,5,3,30248
138,7,382,abstract pac man,4,1,3,9128
119,1,383,a guy with a party hat,3,3,3,16506
185,5,384,house,2,2,2,23398
158,2,385,noose and hang men,5,5,5,11652
136,3,386,boat,3,2,1,9148
122,2,387,"a robot, slightly inspired by bender",4,3,4,109265
121,7,388,rocket in space,5,3,5,69793
151,7,389,a guy watching tv,5,3,4,27674
142,3,390,basketball,3,3,4,69083
173,5,391,chihuahua in a purse,4,2,5,40518
109,1,392,a boy,3,4,2,42521
183,6,393,lamp,3,2,2,51757
167,4,394,a vase,3,3,2,15054
115,5,395,house,2,2,3,17019
186,3,396,boat,3,2,1,11942
120,2,397,city with road leading into it,5,3,3,43700
160,7,398,swords,5,1,3,19914
154,4,399,light bulb,2,1,3,1039
117,6,400,wierd shape,1,1,2,1000
101,5,401,house,2,4,2,18369
175,7,402,no label,NA,2,1,8112
175,6,403,table lamp,3,1,1,8350
141,1,404,water drop,2,2,1,69195
106,4,405,vase and a flower,3,2,1,35816
158,5,406,church,2,2,3,18097
118,3,407,a drunk guy with a lampshade on his head,5,5,5,52157
172,4,408,frosty the snowman,4,2,4,8871
153,4,409,sailboats with a city skyline in the background,5,4,4,52207
125,1,410,upside down snowcone,2,1,2,12359
193,3,411,smile,3,3,1,46731
175,4,412,ship,4,3,4,59489
189,4,413,a face with teeth,2,2,2,15042
108,4,414,chubby guy,3,1,2,2400
119,2,415,some kind of electric drill,4,2,4,15604
173,1,416,clown with a balloon,4,5,5,53105
169,2,417,stamp,2,1,5,1410
176,4,418,a man in a top hat,3,3,3,32234
149,6,419,a house,2,2,2,16478
141,3,420,hat,2,2,4,217581
161,5,421,house,2,2,2,25535
185,4,422,person,3,3,2,9132
167,1,423,a person,3,2,3,4449
152,2,424,a person,3,2,1,10733
130,5,425,kraken monster,4,2,5,33172
170,5,426,tree with leaves,4,2,3,80410
137,2,427,a shark,4,2,5,46510
156,6,428,some dude,4,3,2,29597
189,6,429,a house,2,2,2,30342
183,2,430,nfl logo,3,2,4,20055
191,4,431,no label,NA,1,1,39560
195,4,432,castle,4,3,5,45035
179,5,433,paper airplane,4,2,3,42878
101,2,434,house with garden,5,5,5,41436
101,3,435,a girl,5,5,3,52557
110,6,436,christmas tree,3,2,2,53027
126,3,437,sneakers,4,2,5,28423
103,1,438,a gnome,3,3,4,52791
141,2,439,pencil,3,2,1,179285
134,5,440,flying envelope,4,1,2,6829
154,2,441,house,3,1,2,2050
194,2,442,wet floor sign,3,3,5,33998
130,4,443,eels and a top hat,5,3,5,53704
133,7,444,slide,5,3,3,31329
186,4,445,smiley face,2,2,1,12884
134,4,446,food,3,2,2,38386
115,7,447,rocket ship,5,4,4,51872
150,4,448,an obese and confused man,4,4,1,24206
185,7,449,pencil,3,2,2,31049
137,5,450,i don't know but it looks like a fish,4,1,1,28893
168,7,451,pencils,3,2,2,18434
162,6,452,pizza man,4,3,3,23592
144,5,453,house,2,1,2,63866
147,2,454,a house upside down,3,2,1,3222
196,3,455,hat,2,2,1,17288
109,7,456,mr potato,3,2,5,47916
128,2,457,extruded shape,1,3,3,7399
144,3,458,duck,5,2,5,35776
158,6,459,christmas tree,3,2,2,12440
188,5,460,putting sprinkles on top of ice cream,5,3,5,17829
146,5,461,the shape reminded me of a chapel,2,2,2,52057
142,6,462,arrow,2,1,2,3711
174,1,463,ice cream dropped on the floor,4,2,5,41508
146,4,464,the shape reminded me of a mushroom,4,2,3,6317
186,7,465,arrow,2,2,1,29769
146,1,466,the shape reminded me of a vase,2,2,2,6602
149,2,467,a clipboard,2,3,4,13917
148,3,468,a man,NA,1,1,9962
122,6,469,a bloody arrow head,5,3,4,459469
110,5,470,sun,3,1,3,29929
107,6,471,a dress on the bottom of a mannequin,4,2,3,5750
189,7,472,a drink being poured into a martini glass,4,2,5,9733
123,3,473,a woman looking at an irish smoking pipe,5,4,3,55205
187,1,474,face,3,3,1,96778
171,2,475,basketball net with an attachment that returns the ball to you,4,3,4,14639
188,2,476,funnel with liquid going through,4,3,3,8713
195,2,477,upside down house,3,1,1,9102
116,1,478,rain drop,2,1,2,26770
137,6,479,no label,NA,1,1,25485
199,6,480,tree,2,1,3,9053
164,2,481,home plate in baseball,3,2,3,1327
190,7,482,angry cowboy,4,3,5,54368
147,7,483,down arrow,2,1,1,1468
102,1,484,sand timer,3,2,4,13796
162,4,485,smart guy,3,4,1,266595
123,2,486,pacman!,5,5,4,139081
152,7,487,a person,4,1,2,8548
172,1,488,upside down ice ceam cone,4,2,3,6391
161,1,489,upside down ice cream cone with sprinkles and whipped cream,4,2,3,13928
158,7,490,jet plane,5,2,5,15473
142,4,491,smiley face,2,1,2,7948
124,3,492,2 flags in a rice bowl,4,3,4,68884
141,6,493,christmas tree,2,1,4,37147
101,7,494,flower,5,3,4,45891
161,4,495,flower vase with flowers in it,3,2,3,26118
197,1,496,a salad bowl with pepper shakers,4,3,4,277169
111,5,497,house,2,1,1,16307
104,6,498,lamp,3,1,3,4378
189,2,499,a person with large shoulders,4,3,3,21547
124,5,500,3d cube,4,1,3,22401
101,6,501,human body of a girl wearing dress,4,3,4,9894
179,4,502,two salad scoopers,2,1,3,7571
116,3,503,boat,3,2,1,28044
188,6,504,"just your average, happy person",4,2,4,24445
111,4,505,sad robot,3,1,1,23217
135,3,506,face,2,2,1,11587
159,2,507,spaceship,5,4,5,38272
158,4,508,monster,2,2,4,6643
166,7,509,a fish,5,3,4,19822
164,4,510,a toilet,4,1,5,1035
142,2,511,computer mouse,5,3,4,22396
116,2,512,pencil,3,3,1,82859
174,5,513,kid with a party hat,3,2,4,10413
124,1,514,weird smiley face,4,5,2,60302
164,5,515,a house,2,1,2,749
186,1,516,face,5,5,2,108439
110,1,517,boat,3,3,4,68952
198,3,518,that is hot pot,3,3,4,8261
104,1,519,natural pool,4,2,4,29224
182,4,520,"fish in bowl, fish net",4,3,5,37967
182,5,521,house,2,2,1,21146
105,6,522,arrow,2,1,1,39028
155,2,523,triangle,2,3,2,28796
195,6,524,girl,3,2,1,3930
132,2,525,person,4,4,1,51220
179,3,526,sailboat,3,2,1,52818
160,1,527,cat,5,4,5,18441
177,4,528,no label,2,3,1,11334
178,5,529,diamond to connect the pieces together,1,2,2,10911
105,5,530,a wall with support beams,3,1,3,23536
128,7,531,pencil,2,2,2,4675
165,6,532,spear,2,1,2,2730
148,5,533,a house,2,2,2,12245
198,5,534,no image,NA,1,1,6542
174,3,535,vinyl record,4,3,4,68290
156,7,536,blender,5,4,5,55317
130,6,537,double sided ping pong,5,3,3,40257
125,6,538,tree,2,1,1,11800
189,3,539,a goofy face,3,3,1,7599
144,2,540,heart,3,3,2,35175
179,6,541,christmas tree,2,1,2,24360
111,6,542,body and legs of a girl,4,2,3,23060
186,5,543,house,2,2,1,12595
103,3,544,the letter a,2,2,4,45471
191,5,545,fish bowl,3,1,4,30202
192,1,546,water drop,2,2,1,37567
152,4,547,person with skiis,4,2,4,7847
113,4,548,lock,3,1,4,1638
118,6,549,christmas tree,3,3,2,52970
170,6,550,ship,4,4,2,58140
181,7,551,dagger,2,1,1,1307
104,4,552,submarine,4,1,5,4909
175,3,553,pumpkin carving,4,2,5,1017097
196,7,554,two random figures,1,1,3,15136
134,6,555,lamp,3,3,2,3367
163,6,556,a lamp,2,2,3,5752
134,7,557,car with box on top,5,3,3,27667
121,5,558,house,2,2,1,14187
177,2,559,upside down house,4,4,1,18697
171,7,560,marker,2,1,1,5289
127,7,561,2 pencils or arrows,2,1,3,33538
157,7,562,spinning top,2,2,5,33335
140,7,563,plane wih forward swept wings,5,3,4,80112
111,1,564,melting ice cream,5,3,2,20228
103,2,565,a fox/a mouse,3,3,4,6251
148,7,566,a toaster and coffee,5,3,4,21635
127,5,567,house,2,2,2,17110
134,2,568,family room with chairs and fire place,5,4,5,35407
129,3,569,smiley face,2,2,3,23675
118,1,570,birthday boy,5,4,3,118013
138,3,571,to me it reminds me of a dress,2,1,2,3790
169,3,572,a hat,2,2,1,8909
120,5,573,house in front of mountains,4,4,4,58388
166,6,574,a lamp,3,2,3,10985
143,4,575,smiley face,2,1,1,2662
142,1,576,witch,3,2,5,10533
118,4,577,boat,4,3,2,37023
119,5,578,house,2,2,1,13247
161,7,579,scissors without handles,4,2,3,14555
127,1,580,rain drop,2,2,4,8022
156,3,581,boat,3,2,2,11976
195,7,582,marker,2,1,1,77677
171,3,583,boat,3,3,1,22477
167,3,584,a face,2,4,1,39177
197,3,585,a boat,3,3,4,28272
176,3,586,an eye,5,4,5,193984
161,2,587,light tower you stick in grass,4,2,5,9288
196,2,588,upsidedown house,3,3,2,17995
107,2,589,an upside down house trees and grass,4,3,2,43311
126,7,590,basketball hoop,4,2,3,88850
200,2,591,ice cream in a cone,2,1,1,6685
176,1,592,a sailboat,4,2,1,55860
147,4,593,a car on a roundabout,5,2,4,9445
167,6,594,a person,3,1,4,4633
140,3,595,boat,3,3,3,38703
137,1,596,no image,NA,3,1,17201
121,2,597,some sort of cat,5,4,3,54130
137,4,598,"i don't know, but it looks like a trophy",4,2,2,37570
103,5,599,a house,2,2,2,21759
147,1,600,two turtles,5,3,5,16016
133,3,601,no label,NA,2,1,35756
199,2,602,pencil,3,2,2,27718
155,5,603,mounted buck,4,5,5,444484
183,4,604,boat,3,2,2,12629
139,5,605,a dojo,3,1,4,10220
145,5,606,house,2,2,1,30235
180,7,607,a frog,5,3,5,37497
200,5,608,a house,2,3,4,25350
152,3,609,face smiling,3,2,2,2976
193,7,610,island,5,3,5,77258
173,2,611,sumo wrestler,5,4,5,891017
156,5,612,house,2,2,1,11274
198,1,613,some kind of flower,4,3,3,1708
180,6,614,a penguin,5,3,5,36876
197,4,615,a house on top of a planet,5,2,3,27708
164,3,616,the head of an axe,2,2,4,1449
136,6,617,arrow,2,1,1,5013
147,5,618,a huge obstacle crashing car,4,2,4,7136
192,7,619,pencil,2,2,1,49363
102,3,620,smiley face,3,3,2,12800
117,3,621,a shape,NA,3,1,7570
146,7,622,the shape reminded me of a pencil,2,2,1,20561
154,3,623,pacman,3,2,4,19790
107,3,624,a chubby kid eating with chopsticks,3,2,5,8564
166,2,625,two people holding hands,5,4,5,22376
190,1,626,a round bottom flask,5,4,5,23961
112,4,627,a man on a boat,3,2,3,6929
142,7,628,rocket,3,2,4,24025
128,3,629,anchor,3,2,5,10785
200,1,630,lamp over a flower in a bowl,5,4,5,59342
161,3,631,boat,3,2,1,14555
125,2,632,baseball home plate,2,2,3,6895
115,2,633,robot,4,3,4,40568
155,1,634,ice cream cone,5,3,3,12103
181,2,635,dagger,2,1,1,18996
182,6,636,christmas tree,3,3,4,35307
182,1,637,m,5,4,2,20337
120,6,638,christmas tree,3,3,3,32593
154,6,639,an arrow,2,1,2,1962
188,3,640,person grabbing a banana,4,4,5,69385
113,6,641,sigma,2,1,4,2102
185,6,642,up arrow,2,1,1,7187
191,7,643,no label,NA,1,1,7944
121,6,644,girl in a dress,4,2,2,21814
109,4,645,shapes,1,1,1,42708
147,3,646,the thingy used by butlers to cover food,3,3,4,7542
182,3,647,a boat,3,4,4,25451
146,6,648,the shape reminded me of a tree,2,2,1,32667
140,2,649,vaguely humanoid shape,3,3,2,31770
149,7,650,a pencil,2,1,2,92506
114,4,651,face,3,2,2,32816
115,1,652,ice cream,4,2,1,13026
187,5,653,house,2,2,1,21544
160,2,654,robot,5,4,1,86177
126,4,655,smiling face,2,2,1,9861
187,4,656,boat with a flag,3,3,2,9027
106,6,657,tree,2,2,1,11657
145,1,658,boat,4,3,2,123725
171,5,659,house,2,2,2,24353
134,1,660,fish,5,5,3,33044
138,4,661,a shape,1,1,2,1003
152,6,662,christmas tree,2,2,2,61764
190,4,663,someone taking a bite out of a chocolate bar,5,4,5,31560
176,5,664,a house,2,2,1,30522
108,6,665,a man,4,1,1,4603
127,6,666,tree,2,2,3,52588
136,5,667,boat,2,1,3,9362
187,3,668,pacman,3,2,1,17801
140,5,669,house,2,2,2,21738
123,7,670,space shuttle on a mission.,5,4,5,44690
159,4,671,boat,3,3,2,23634
147,6,672,christmas tree,2,1,3,3592
191,3,673,no label,NA,2,1,18778
194,7,674,arrow,3,2,1,53525
180,2,675,a pencil writing on paper,4,5,3,52719
171,1,676,cul de sac,5,2,3,9941
173,6,677,lady wearing a skirt,4,2,3,26935
191,6,678,2 tutals,4,3,2,26644
107,4,679,no label,2,2,1,12286
133,5,680,a present,3,3,4,49340
101,4,681,a boy,4,5,4,22291
181,3,682,cone,1,1,1,51427
150,3,683,fisherman catching a fish,4,3,5,37787
135,6,684,christmas tree,2,2,3,36226
122,3,685,a runny nose,5,5,4,205489
153,5,686,a man waving to someone through his window,4,3,5,39307
129,4,687,i tried to draw someone holding a purse but it skipped,NA,2,3,6613
108,2,688,a thin jumping guy,3,2,4,3962
110,3,689,ghost,3,2,4,111355
108,1,690,a smiling boy,3,2,2,6708
139,7,691,chinese handcuff,4,1,4,7097
113,7,692,eraser,2,1,3,1577
143,3,693,jack o'lantern,3,1,5,22479